Id,Label
sexism,sexism
white,white
racism,racism
red,red
misandry,misandry
rights,rights
black,black
women,women
mgtow,mgtow
mra,mra
mens,mens
pill,pill
timesup,timesup
feminism,feminism
trump,trump
dating,dating
marriage,marriage
male,male
sexist,sexist
men,men
green,green
orange,orange
metoo,metoo
support,support
divorce,divorce
court,court
resist,resist
family,family
himtoo,himtoo
child,child
misogyny,misogyny
trumpclown,trumpclown
separated,separated
benefits,benefits
ageism,ageism
manosphere,manosphere
brown,brown
friends,friends
equality,equality
herbivore,herbivore
grey,grey
moron,moron
break,break
colonialism,colonialism
woman,woman
cult45,cult45
cheating,cheating
hair,hair
auspol,auspol
love,love
morongopvoters,morongopvoters
lisalaflamme,lisalaflamme
supremacy,supremacy
mindlessfollowers,mindlessfollowers
privilege,privilege
feminist,feminist
blm,blm
america,america
racist,racist
lisa,lisa
female,female
homophobia,homophobia
indian,indian
drinkthekoolaid,drinkthekoolaid
sexual,sexual
hate,hate
whitesupremacy,whitesupremacy
gender,gender
patriarchy,patriarchy
michaelmelling,michaelmelling
discrimination,discrimination
art,art
man,man
police,police
race,race
republicans,republicans
sheriff,sheriff
christian,christian
people,people
violence,violence
ctv,ctv
workplace,workplace
workplaceculture,workplaceculture
lgbt,lgbt
society,society
beautiful,beautiful
hatred,hatred
british,british
sa,sa
usa,usa
funny,funny
lgbtq,lgbtq
democrats,democrats
xenophobia,xenophobia
gay,gay
skin,skin
consumerism,consumerism
bigotry,bigotry
andrewneil,andrewneil
jeremyvine,jeremyvine
laurakunsberg,laurakunsberg
whiteprivilege,whiteprivilege
holocaustmemorialday,holocaustmemorialday
sjw,sjw
poc,poc
beauty,beauty
assault,assault
mengoingtheirownway,mengoingtheirownway
slavery,slavery
breakup,breakup
jobs,jobs
life,life
ctvnews,ctvnews
god,god
justice,justice
brutality,brutality
asian,asian
classism,classism
old,old
no,no
american,american
suprematism,suprematism
wasp,wasp
activism,activism
apartheid,apartheid
news,news
peace,peace
education,education
climate,climate
world,world
girl,girl
africa,africa
aaa,aaa
bbb,bbb
ogn,ogn
nin,nin
colonisation,colonisation
femininity,femininity
repugnancy,repugnancy
narcissism,narcissism
christians,christians
fight,fight
food,food
kitchen,kitchen
comedy,comedy
liberals,liberals
biases,biases
bias,bias
ableism,ableism
nazism,nazism
only,only
evangelicals,evangelicals
bellmedia,bellmedia
males,males
gop,gop
indogreek,indogreek
false,false
prophets,prophets
2ndcometh,2ndcometh
proved,proved
barbaric,barbaric
stands,stands
straight,straight
blackhistorymonth,blackhistorymonth
genderbias,genderbias
fear,fear
streetphotography,streetphotography
agitprop,agitprop
stilllife,stilllife
yellow,yellow
conceptualphotography,conceptualphotography
conceptphoto,conceptphoto
advertising,advertising
guilt,guilt
time,time
india,india
wealthy,wealthy
politics,politics
swearinginceremony,swearinginceremony
relocate,relocate
rural,rural
state,state
beachlife,beachlife
identitypolitics,identitypolitics
purple,purple
pink,pink
football,football
conservative,conservative
economic,economic
anxiety,anxiety
hiring,hiring
religion,religion
asia,asia
cosmetic,cosmetic
house,house
differences,differences
hookup,hookup
cop,cop
meghanmarkle,meghanmarkle
transphobia,transphobia
trans,trans
americans,americans
nationalist,nationalist
hostility,hostility
immigrants,immigrants
colonial,colonial
kkk,kkk
democracy,democracy
humanrights,humanrights
woke,woke
dei,dei
stereotypes,stereotypes
ally,ally
protest,protest
allowed,allowed
fans,fans
fascism,fascism
lisalaflammegrey,lisalaflammegrey
campaign,campaign
history,history
sexuality,sexuality
destory,destory
humanity,humanity
extinction,extinction
english,english
indigenous,indigenous
intersectionality,intersectionality
react,react
trumpism,trumpism
rape,rape
putin,putin
retweet,retweet
streetscene,streetscene
summertime,summertime
streetads,streetads
publicity,publicity
advertisement,advertisement
sikh,sikh
young,young
nationalism,nationalism
labels,labels
apple,apple
cis,cis
streetart,streetart
gatukonststockholm,gatukonststockholm
blacklivesmatter,blacklivesmatter
loveyourself,loveyourself
free,free
bikes,bikes
highschool,highschool
girls,girls
bikesnotbombs,bikesnotbombs
election,election
colourphotography,colourphotography
empowerment,empowerment
whitemen,whitemen
culture,culture
color,color
shithole,shithole
country,country
president,president
calling,calling
countries,countries
thing,thing
ignorance,ignorance
problem,problem
course,course
today,today
lol,lol
kavanaugh,kavanaugh
napowrimo2019,napowrimo2019
crapowski,crapowski
poem,poem
poems,poems
womanempowerment,womanempowerment
she,she
capitalist,capitalist
meat,meat
dairy,dairy
egg,egg
speciesism,speciesism
religionism,religionism
paganforever,paganforever
pagan,pagan
hollywood,hollywood
islamophobia,islamophobia
video,video
mcdonald,mcdonald
liberal,liberal
conservatives,conservatives
hypocrisy,hypocrisy
rich,rich
theview,theview
fairfax,fairfax
walkonby,walkonby
anglo,anglo
diversity,diversity
truth,truth
consolidated,consolidated
human,human
passion,passion
media,media
eyes,eyes
veneto,veneto
famiglia,famiglia
omofobia,omofobia
renforcingpatriarchal,renforcingpatriarchal
fraud,fraud
muslim,muslim
elected,elected
politicalscientist,politicalscientist
dianamutz,dianamutz
statusthreat,statusthreat
hypothesis,hypothesis
leapfrog,leapfrog
resistance,resistance
resisters,resisters
teeth,teeth
wild,wild
brush,brush
makeup,makeup
patriots,patriots
snubs,snubs
essay,essay
anger,anger
hope,hope
change,change
clean,clean
social,social
transparency,transparency
sustainability,sustainability
welfare,welfare
assistance,assistance
reform,reform
lead,lead
fair,fair
sportsbiz,sportsbiz
sports,sports
buccaneers,buccaneers
nfl,nfl
womenshealth,womenshealth
snoop,snoop
snoopdogg,snoopdogg
pocbf,pocbf
smalldickenergy,smalldickenergy
viator,viator
travel,travel
paris,paris
redpill,redpill
kara,kara
alexander,alexander
dagenham,dagenham
boys,boys
murder,murder
paygap,paygap
bodypositivitymovement,bodypositivitymovement
jamie,jamie
lopez,lopez
killer,killer
criminal,criminal
judge,judge
mariel,mariel
suarez,suarez
murderer,murderer
cristian,cristian
bustos,bustos
argentina,argentina
camilla,camilla
defecate,defecate
slaveowners,slaveowners
fail,fail
antifa,antifa
anarchist,anarchist
poor,poor
jan6thinsurrection,jan6thinsurrection
whitechristian,whitechristian
movement,movement
theocracy,theocracy
non,non
humor,humor
november,november
thanksgiving,thanksgiving
recipe,recipe
foundingfathers,foundingfathers
ancestrydna,ancestrydna
nationalists,nationalists
freeliberty,freeliberty
equilty,equilty
justiceforallmankind,justiceforallmankind
kkkhate,kkkhate
chineseexclusionact,chineseexclusionact
army,army
military,military
recruit,recruit
navy,navy
royal,royal
air,air
force,force
recruiting,recruiting
strike,strike
marriagestrike,marriagestrike
nomarriage,nomarriage
nocohabitation,nocohabitation
with,with
respecting,respecting
marry,marry
stalking,stalking
harassers,harassers
william,william
harry,harry
ralphfiennes,ralphfiennes
pedo,pedo
zionism,zionism
royals,royals
antiracism,antiracism
seasons,seasons
disability,disability
discriminations,discriminations
sixstagesframework,sixstagesframework
twittereps,twittereps
unconsciousbias,unconsciousbias
australia,australia
aware,aware
challenged,challenged
conversation,conversation
grew,grew
individuals,individuals
laquitastoolbox,laquitastoolbox
legislate,legislate
messages,messages
person,person
thinking,thinking
toolbox,toolbox
unconscious,unconscious
disappointing,disappointing
stupidity,stupidity
dumbasses,dumbasses
rednecks,rednecks
stupid,stupid
incredulous,incredulous
tiktokcomments,tiktokcomments
fyp,fyp
tiktok,tiktok
comments,comments
commentsbycelebs,commentsbycelebs
commentsbytiktok,commentsbytiktok
commentsbytiktokers,commentsbytiktokers
yt,yt
toxic,toxic
smashthepatriarchy,smashthepatriarchy
blackness,blackness
spouse,spouse
misogynoir,misogynoir
whitedudes,whitedudes
outsmart,outsmart
system,system
dudes,dudes
lifelessons,lifelessons
day,day
flag,flag
leader,leader
requested,requested
blackmen,blackmen
hatespeech,hatespeech
blackmusic,blackmusic
mtvvmas,mtvvmas
grammys,grammys
bitch,bitch
era,era
political,political
immigrant,immigrant
hostile,hostile
environment,environment
inequality,inequality
abortion,abortion
prochoice,prochoice
prolife,prolife
biden,biden
whitewomen,whitewomen
fifthgenamerican,fifthgenamerican
chinese,chinese
thinkaboutit,thinkaboutit
professor,professor
alboforpm,alboforpm
independent,independent
climateemergency,climateemergency
federalicac,federalicac
enoughisenough,enoughisenough
ausvotes,ausvotes
ausvotes22,ausvotes22
10days,10days
terribleprice,terribleprice
being,being
relationship,relationship
gayman,gayman
lgbtqia,lgbtqia
languagematters,languagematters
theravada,theravada
buddhist,buddhist
monk,monk
teachertwitter,teachertwitter
langtwt,langtwt
lao,lao
pali,pali
monks,monks
doublestandards,doublestandards
netflix,netflix
systemic,systemic
exploitation,exploitation
opress,opress
equalpayday,equalpayday
benouais,benouais
hatecrime,hatecrime
hispanic,hispanic
stophate,stophate
russian,russian
ukrainian,ukrainian
grandkids,grandkids
ifeelgod,ifeelgod
reaction,reaction
reactjs,reactjs
reactos,reactos
decadent,decadent
wages,wages
wagegap,wagegap
gendercritical,gendercritical
gendergaga,gendergaga
genderneutral,genderneutral
morningjoe,morningjoe
mostunderstood,mostunderstood
reality,reality
theunthinkable,theunthinkable
slaves,slaves
whystopnow,whystopnow
stevebannon,stevebannon
16days,16days
16daysofactivism,16daysofactivism
broken,broken
systematic,systematic
followforfollow,followforfollow
vine,vine
armsrace,armsrace
howcome,howcome
theprettyone,theprettyone
butnotme,butnotme
fastfood,fastfood
rittenhouse,rittenhouse
selfdefense,selfdefense
hypocracy,hypocracy
commonlaw,commonlaw
donaldtrump,donaldtrump
acceptability,acceptability
lie,lie
landowner,landowner
accountability,accountability
cityscene,cityscene
reflections,reflections
summer,summer
fashion,fashion
billboards,billboards
pakistani,pakistani
cukture,cukture
relatives,relatives
bad,bad
toxcmale,toxcmale
culturalmarxism,culturalmarxism
farleft,farleft
equalopportunist,equalopportunist
elderly,elderly
dontpissmeoff,dontpissmeoff
guns,guns
mental,mental
mansplaining,mansplaining
workingclass,workingclass
nolossesjustlessons,nolossesjustlessons
middleclass,middleclass
heterosexual,heterosexual
ablebodied,ablebodied
citizen,citizen
whitesettler,whitesettler
heterosexism,heterosexism
religiousoppression,religiousoppression
institutionalizedracism,institutionalizedracism
sdfp,sdfp
sdfd,sdfd
menofcolor,menofcolor
covid19vaccine,covid19vaccine
tokenism,tokenism
sandiego,sandiego
pr,pr
spin,spin
end,end
need,need
dominance,dominance
exceptionalism,exceptionalism
nature,nature
serenity,serenity
healing,healing
sunshine,sunshine
thankyou,thankyou
abuseofpower,abuseofpower
entitlment,entitlment
attemptedcoup,attemptedcoup
urbanism,urbanism
trees,trees
genderquota,genderquota
kpop,kpop
jungkook,jungkook
leftist,leftist
barbz,barbz
unitedstates,unitedstates
pakistan,pakistan
orangetheworld,orangetheworld
orangenews,orangenews
tory,tory
dots,dots
blue,blue
magenta,magenta
abstractart,abstractart
levelup,levelup
narcissistic,narcissistic
monetizes,monetizes
fuckyourself,fuckyourself
pedophilia,pedophilia
racistabuse,racistabuse
latinx,latinx
supporther,supporther
pride,pride
womenled,womenled
womenowned,womenowned
newprofilepic,newprofilepic
violentthugs,violentthugs
suckmynuts,suckmynuts
savinglivesmatter,savinglivesmatter
policebrutality,policebrutality
georgefloyd,georgefloyd
lgbbt,lgbbt
riots,riots
covid19,covid19
lockdown2020,lockdown2020
greatbritain,greatbritain
respect,respect
kinkydiva,kinkydiva
warren,warren
criticalmass,criticalmass
bicycles,bicycles
bike,bike
biking,biking
cyclists,cyclists
mobility,mobility
sustainabliity,sustainabliity
transport,transport
school,school
liberation,liberation
government,government
visionzero,visionzero
thehill,thehill
feministas,feministas
kamalaharris,kamalaharris
colouremotions,colouremotions
mijasnatural,mijasnatural
redkenespaña,redkenespaña
quebienmelopaso,quebienmelopaso
itsmoney,itsmoney
americanlife,americanlife
capitalistic,capitalistic
thenumbers,thenumbers
justlikecongress,justlikecongress
payingwhitepeopletochoosethis,payingwhitepeopletochoosethis
dresscodes,dresscodes
hypersexualuzation,hypersexualuzation
bodyshaming,bodyshaming
adultification,adultification
election2020,election2020
voting,voting
vote,vote
bigotryisnotok,bigotryisnotok
pure,pure
policies,policies
endracism,endracism
wisewords,wisewords
moderate,moderate
individualism,individualism
wallsonfire,wallsonfire
billboard,billboard
cityscape,cityscape
zaragoza,zaragoza
shopwindow,shopwindow
monochrome,monochrome
artbrut,artbrut
beachvolleyball,beachvolleyball
floridagirls,floridagirls
florida,florida
miamibeach,miamibeach
please,please
helpingwomentobuildselfesteem,helpingwomentobuildselfesteem
help,help
empowerwomen,empowerwomen
communityhealth,communityhealth
springfield,springfield
missouri,missouri
uspolitics,uspolitics
masculinity,masculinity
usnews,usnews
toxicmasculinity,toxicmasculinity
manhood,manhood
ideology,ideology
virtue,virtue
stair,stair
colour,colour
lovequotes,lovequotes
quotesdaily,quotesdaily
quotes,quotes
lifequotes,lifequotes
gayboy,gayboy
gaypride,gaypride
gayteen,gayteen
pinterest,pinterest
ifunny,ifunny
9gag,9gag
medical,medical
textbooks,textbooks
pictures,pictures
laws,laws
misogynistic,misogynistic
predator,predator
brand,brand
trumpian,trumpian
jimcrow2016,jimcrow2016
napowrimo,napowrimo
bobsandvagene,bobsandvagene
feminine,feminine
her,her
queer,queer
lesbian,lesbian
womensupportwomen,womensupportwomen
womensmarch,womensmarch
prioritizing,prioritizing
electability,electability
2020election,2020election
codedterm,codedterm
democratselectability,democratselectability
2020presidentialnomination,2020presidentialnomination
presidentialnomination,presidentialnomination
mother,mother
daughter,daughter
wife,wife
sister,sister
poster,poster
painting,painting
twitter,twitter
tweet,tweet
bernie,bernie
biden2020,biden2020
beto,beto
staywoke,staywoke
voters,voters
aoc,aoc
elite,elite
agism,agism
oldmen,oldmen
uncaring,uncaring
heaven,heaven
stpatricksday,stpatricksday
marinadelrey,marinadelrey
losangeles,losangeles
california,california
marinadeley,marinadeley
c4jforever,c4jforever
bendtheknee,bendtheknee
debeers,debeers
aztec,aztec
responsability,responsability
lying,lying
stealing,stealing
maga,maga
nazis,nazis
fucktrump,fucktrump
antisemitism,antisemitism
aba,aba
bab,bab
gamification,gamification
biastraining,biastraining
isn,isn
meme,meme
domesticterrorists,domesticterrorists
supremacist,supremacist
profs,profs
gradstudents,gradstudents
intersectional,intersectional
donnerstagsdemo,donnerstagsdemo
facts,facts
supremacists,supremacists
nazi,nazi
gopclowns,gopclowns
fakepotus,fakepotus
stolenland,stolenland
500brokentreaties,500brokentreaties
biaslaws,biaslaws
radio,radio
nswpol,nswpol
orangeisthenewstupid,orangeisthenewstupid
trumplies,trumplies
impeachtheclown,impeachtheclown
technology,technology
conartists,conartists
australian,australian
racsim,racsim
yobboland,yobboland
philosophy,philosophy
senategop,senategop
mockery,mockery
priviledged,priviledged
card,card
champions,champions
cristiano,cristiano
emre,emre
juventus,juventus
league,league
ronaldo,ronaldo
cro,cro
tiny,tiny
dick,dick
fired,fired
trash,trash
embarrassment,embarrassment
bottomofthebarrel,bottomofthebarrel
garbage,garbage
legend,legend
standingup,standingup
dog,dog
boycottnytimes,boycottnytimes
digitalart,digitalart
tree,tree
sex,sex
ecology,ecology
earthmusicandecology,earthmusicandecology
trending,trending
sky,sky
blogger,blogger
cannabiscup,cannabiscup
cannabisart,cannabisart
sunday,sunday
disgust,disgust
famous,famous
sondosalqattan,sondosalqattan
browngirl,browngirl
code,code
breakfree,breakfree
punjabi,punjabi
homonormative,homonormative
privileges,privileges
electoralcollege,electoralcollege
domesticterrorism,domesticterrorism
nuclearplaybook,nuclearplaybook
finnish,finnish
confirmationbias,confirmationbias
employee,employee
training,training
perception,perception
facebook,facebook
cnn,cnn
2016election,2016election
study,study
finds,finds
whitepeople,whitepeople
underthreat,underthreat
gamemakers,gamemakers
unregulatedbusiness,unregulatedbusiness
diferentthan,diferentthan
games,games
businesses,businesses
prejudices,prejudices
ruined,ruined
fb,fb
periscope,periscope
worker,worker
meritocracy,meritocracy
perpetuating,perpetuating
implicit,implicit
trumpkin,trumpkin
neveragain,neveragain
noneu,noneu
europeans,europeans
cleanskin,cleanskin
racecard,racecard
educated,educated
englishspeaking,englishspeaking
brexit,brexit
natwest,natwest
esta,esta
italian,italian
french,french
italyelection2018,italyelection2018
iheartawards2018,iheartawards2018
staystrongwjsn,staystrongwjsn
jit,jit
